# Shadow tomography log started 2020-01-13 21:44:39
# Dimension = 8
# True state = ( 0.14721585 -0.00534268 -0.35672598 -0.06598247  0.68291300 -0.18321269  0.05912638  0.14621629  0.12210690 -0.01363021 -0.06913602 -0.12444022  0.33730013 -0.28221549 -0.30506144 -0.00625829)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7
  46434    46434  -0.17574669 -0.47509127  0.56934015  0.17400063 -0.18589444 -0.25548929  0.07756937 -0.37766554 -0.14819664  0.08648520 -0.04636292 -0.07350638 -0.00530912 -0.12005632  0.28497387 -0.08860426
  89188    42754  -0.33528336 -0.38207566  0.00077454 -0.05150716  0.31057296 -0.02245628 -0.22950598  0.25956464 -0.09221934 -0.06481330  0.64267884 -0.16859989  0.04315599 -0.09586306 -0.18513718  0.14982620
  116743   27555  -0.04289555  0.01820642 -0.30579591 -0.39840496  0.29779964 -0.18447903  0.05982889 -0.31708456 -0.03025222  0.04818145  0.12213740  0.27106952 -0.22539083 -0.10477750  0.54367524  0.26411476
  180859   64116   0.43874040  0.11163776  0.23217665 -0.14544777 -0.07757608 -0.24349729  0.03382205 -0.04205291 -0.02571780  0.20284496  0.26559152 -0.10858702 -0.64600854 -0.03500104 -0.32867744  0.03229588
  246834   65975   0.05153224  0.09460997 -0.05758389  0.15540433  0.28859069  0.27991153 -0.08226778 -0.49396714  0.28663973  0.53832657  0.07872401 -0.33834288  0.18763537 -0.09812646 -0.09892060  0.03561001
  284098   37264   0.01975643  0.24819589  0.16812614 -0.22288081  0.28052350 -0.38657637  0.06803985 -0.36235338 -0.11699602 -0.31359894  0.08518365 -0.05310527  0.36373334  0.39610469 -0.26525086 -0.11972655
  295141   11043  -0.07429192 -0.16095116 -0.15429790 -0.18157002 -0.24202431 -0.28729534  0.46291440  0.03626230  0.59879254  0.05357303  0.16820988  0.12492128  0.20227102 -0.23607786 -0.17573220 -0.14909815
  327200   32059  -0.41575286 -0.00196718 -0.17337095  0.35125722 -0.00747935 -0.29024546 -0.08219892 -0.12332141 -0.03338802  0.25745142 -0.18463084  0.41415070 -0.17067881  0.18536559 -0.39074380  0.27976000
  340822   13622   0.31726922 -0.19474340  0.44979896 -0.00619904  0.27730358 -0.09258597  0.11857779 -0.09606037  0.03184092  0.11868984 -0.60331263  0.09640531 -0.32277926  0.23528238  0.00554280 -0.04841258
  371192   30370   0.39295503  0.12267717  0.18384216 -0.08488264 -0.25562968  0.03698779 -0.40494989  0.02694484 -0.65658769 -0.05572877  0.21689843  0.08924164 -0.13320610  0.17989881 -0.06840141 -0.11874467
  482398   111206  0.07382678  0.16193602 -0.31893391  0.47694355  0.04154093 -0.46983559  0.03429330  0.25249770 -0.01808817  0.23737426  0.01372794  0.29922355 -0.16682934  0.10372391 -0.39753521  0.09331805
  533751   51353   0.01342521  0.03907336  0.30412942  0.11432206  0.03548253  0.23603045 -0.53384329  0.25528736  0.24752948 -0.08144647 -0.20903657  0.23676049  0.26862937 -0.35916209 -0.30834930  0.14732444
  585938   52187   0.36303732 -0.02974073 -0.12720130  0.04302810  0.19305172 -0.37457482 -0.44195861  0.10533206  0.29754754  0.03543571  0.11705880 -0.13936826  0.08938321  0.02914433  0.57752490  0.00017721
  622714   36776  -0.02947477 -0.32200664 -0.30676495 -0.15290777 -0.39967057 -0.09672089 -0.26021498 -0.11675027  0.02557399 -0.10753718 -0.27106806 -0.23409205 -0.38231588 -0.10188442 -0.10515673  0.46842761
  660125   37411   0.16983809  0.37627257 -0.08964972 -0.27633302 -0.17509082  0.25161486 -0.04673419  0.13958860  0.55005496 -0.03759026  0.09599052 -0.03929738 -0.33588182  0.33859800 -0.20110721 -0.21656362
  662637   2512   -0.10622571  0.48951373  0.08823967 -0.30688904 -0.16992531 -0.31443157  0.09508086  0.28006376 -0.14142378  0.01118128 -0.39329531 -0.23535708  0.36456130  0.15761889  0.03948814  0.20591151
  691012   28375  -0.01338381  0.54449004  0.19931879 -0.06719268 -0.38794250  0.07907578  0.00648228 -0.00750498  0.37584684 -0.17410665  0.14320409  0.30115359  0.28793547  0.34958809 -0.11570815 -0.03124124
  710665   19653   0.27788515 -0.10347800  0.08986279  0.22982746  0.07514182 -0.09409250 -0.08765199  0.02753664 -0.02279869  0.10821043  0.34392594 -0.22136031  0.05002485  0.33652910  0.12729055 -0.71886259
  760864   50199  -0.02948999 -0.18860486 -0.36067799  0.15910324  0.01152251  0.19115925 -0.00207459 -0.30577053 -0.06309746 -0.50855101 -0.49855375  0.12536780  0.08647951  0.31488081  0.00690772 -0.21077677
  844178   83314   0.00567924 -0.38191920  0.27643800  0.03864613 -0.48179381 -0.25339023 -0.31743778  0.29058587  0.00159469 -0.32546993 -0.07343151  0.02983939  0.10354185 -0.13118788  0.38877369  0.05799356
  930044   85866   0.21827049  0.02675454  0.08522424  0.56360556 -0.54468988  0.19419295  0.19244268 -0.29700358 -0.12924860  0.13189602  0.00219218 -0.10470879 -0.24942331 -0.17398656 -0.14860575  0.08629621
  964383   34339   0.00793845 -0.22099116 -0.01688399  0.29052317  0.20493842  0.18074102  0.18478325  0.13520007  0.60745397 -0.00613739  0.02204538  0.36160859  0.05548964 -0.43677986  0.02560283 -0.21100736
  979862   15479   0.35659727 -0.22409002 -0.01137117  0.09582070  0.05381259 -0.01021779  0.29376624  0.54794614 -0.09224069 -0.03814316  0.00310187  0.26549547 -0.21114447  0.42828043 -0.22498497  0.25432716
  984012   4150   -0.07274196  0.39135708  0.31115608  0.38185734  0.28675896  0.03801977  0.24448181  0.29794220 -0.07181696 -0.17145682 -0.32392664 -0.36512562  0.17252236 -0.02140250  0.24451953  0.06233660
  1010478  26466   0.13670843  0.16923395  0.11520241 -0.13570381 -0.07795235 -0.38174852  0.14759609  0.51944643  0.07509189  0.29475694 -0.01097361  0.10335233  0.10082417  0.60073163  0.04250300  0.03731996
  1042906  32428   0.12493102  0.05393096 -0.05565547  0.26152347 -0.05280737 -0.17853871  0.13462252 -0.16658690  0.00078786 -0.52333612 -0.45869384  0.07344900 -0.10849843  0.22110938  0.42570818  0.31287010
  1060388  17482  -0.07342873  0.45061481  0.16006495  0.10992292 -0.04885728  0.19397209  0.00423405  0.53864301 -0.02852006 -0.36993127 -0.05096180  0.29893362  0.18004137 -0.35506410 -0.17673598  0.06589593
  1095390  35002   0.09646265  0.04655253 -0.52204129 -0.61237143 -0.13065679  0.20650555 -0.07162656  0.06792555 -0.13544669  0.00824040 -0.41782101  0.20417640 -0.15172893  0.00526106 -0.04254453 -0.10957403
  1173899  78509  -0.30862981 -0.13988074  0.01334457 -0.26336991  0.13478149 -0.33967451 -0.03143988 -0.00442427  0.29401454  0.13050689  0.14044812  0.48366064 -0.06366710 -0.35109299  0.37890395  0.23036601
