# Shadow tomography log started 2020-01-14 13:21:23
# Dimension = 8
# True state = ( 0.06087385 -0.30354142  0.28090474  0.21972063  0.31074887  0.40416151 -0.33726593  0.05063916  0.02287259  0.00473463  0.01562384 -0.15327942  0.07181253  0.21434026 -0.06335928  0.56687820)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7
  2048     2048   -0.60946468 -0.26515739  0.15055233  0.18996556 -0.05398906  0.17651328  0.09938037 -0.01470913 -0.14860437  0.11839840  0.10163667 -0.57679668 -0.00364806 -0.01197551 -0.27476609  0.02340698
  19700    17652   0.10105351 -0.16521072 -0.03095027  0.11613563  0.12646437  0.18840286  0.40456573  0.07480795 -0.45354460 -0.50916148 -0.32950918  0.10539792 -0.12177245  0.19240840 -0.06176491  0.29494425
  89244    69544  -0.01253904 -0.23064868  0.02984801  0.13869899 -0.08896481  0.54653337 -0.28609087 -0.45646373  0.15263703 -0.14939433 -0.21168759  0.23188490  0.20868051 -0.37388797 -0.04641653 -0.00134946
  128314   39070  -0.13971012  0.32109319 -0.34493885 -0.31726248 -0.02485402 -0.09453474  0.00876769 -0.40786781 -0.12587511 -0.39965869  0.43483891 -0.13801564  0.12061617 -0.12835790 -0.06743622  0.24995585
  198134   69820   0.20034500 -0.02236920  0.02818074 -0.11120167 -0.20726615  0.18789035  0.27863359  0.10698530  0.00637849  0.40357183  0.18997640  0.09651849 -0.31547018 -0.42094286 -0.12212725  0.52811912
  216380   18246   0.13895803  0.12603307  0.41002598 -0.33611450 -0.07682777  0.16983144  0.24155513 -0.07632266 -0.25318808 -0.12503179  0.01764099 -0.20912129 -0.16813149 -0.31936146  0.28001939 -0.50233649
  223502   7122   -0.38812166  0.13697390 -0.22364494 -0.16773039 -0.57722696  0.30458968 -0.14352767  0.23697815 -0.16503974  0.01224700 -0.00657244  0.29427470 -0.16776886  0.24830486  0.19244940 -0.09411245
  258208   34706   0.01309376  0.31521149  0.23278797  0.51033329 -0.19936390 -0.13982959  0.04174458 -0.36364731  0.02431901 -0.08446615  0.13978651  0.18693392 -0.47183734  0.11926246 -0.27030833 -0.14292868
  275562   17354  -0.09049268 -0.01894621 -0.16292871 -0.09249671  0.00151483 -0.01505537 -0.03535655 -0.17090997  0.30250208  0.19753919 -0.29711826  0.37600470 -0.61711209  0.03843957  0.32952187 -0.27310039
  276302   740     0.09223282  0.50630192 -0.28527916  0.10589552 -0.14143100 -0.07250535  0.49533811 -0.02206418 -0.11220177 -0.11172142 -0.04552584 -0.21802556  0.13852879 -0.04738678  0.23669936 -0.46830120
  292609   16307   0.06734629 -0.25834900 -0.28772285  0.08811136 -0.13421673  0.33393241  0.38938043  0.09113366 -0.21256054 -0.21789200  0.30331543  0.49584339 -0.09658277 -0.27540006  0.02493759  0.18002680
  331411   38802   0.08435138  0.15558101 -0.30392053 -0.14159092  0.72088334  0.11716545 -0.16528168 -0.03703956 -0.34278219 -0.28221103 -0.28421177  0.09470605  0.01248490  0.06512735 -0.01465777  0.05169776
  406388   74977   0.15100735 -0.50863824 -0.49506677 -0.05378577 -0.10282738 -0.00709182  0.20675667 -0.05358053  0.04594006  0.09429566 -0.18364628 -0.34799270  0.04228339  0.47408616  0.02447885  0.14589424
  525992   119604 -0.50834564 -0.14681528  0.04878211 -0.13306382  0.05234422 -0.06930596  0.30331018  0.24654049 -0.23931636  0.10173311 -0.18172184 -0.03867805 -0.19369281 -0.01515258 -0.56363908 -0.28643589
  527291   1299    0.16320632 -0.00262242  0.55064630  0.30665397  0.06706404 -0.00073986  0.36621767  0.20086447 -0.09967641 -0.23004949 -0.29603044  0.05625025 -0.20638660  0.36450550  0.17540539  0.19304341
  532648   5357   -0.02125319  0.18820809 -0.04349525  0.04612236 -0.35651338  0.40226714 -0.33676621  0.22092698 -0.53334308  0.35869365 -0.09852273  0.05725777 -0.02017411  0.25793354  0.12259468 -0.02997894
  540308   7660    0.20785738 -0.11094867 -0.12012779  0.04228659 -0.10296335 -0.27911235 -0.22154083 -0.32549001 -0.10879024  0.02300274  0.57189486 -0.40699033 -0.05282580 -0.28974426  0.30439977  0.01633404
  548301   7993   -0.03842534 -0.17384224 -0.14330543  0.04391101  0.12997581  0.58464710 -0.15674116 -0.34900818  0.00434050  0.31944046  0.21572091  0.20360010 -0.38380243 -0.07628966 -0.29662226 -0.09797222
  575686   27385   0.19911400  0.32662545  0.02713963  0.49088378  0.05964481 -0.02701238  0.11546073 -0.51730216 -0.22676533  0.19116379 -0.28528336 -0.14555677  0.08401517  0.35492492  0.04866687  0.02842383
  583204   7518   -0.41758087  0.01689281 -0.30819225 -0.02152119 -0.03052040 -0.16347648 -0.47916349 -0.28668361 -0.28605875 -0.33744984 -0.24483220  0.12343176  0.16368242 -0.16189810 -0.22685015  0.12292236
  583635   431    -0.09571985  0.46133070 -0.07279085  0.17660463 -0.00299981  0.05229344  0.05365593 -0.09011477  0.60793001  0.05246197 -0.10583564 -0.14650690  0.10595537 -0.54511475 -0.11203231 -0.04308454
  604378   20743   0.52438733  0.22833680 -0.35925632 -0.33097813  0.21506939  0.25030113 -0.16011769  0.19140193 -0.17514346 -0.01661893 -0.04433751 -0.26180624  0.31004050  0.01583095 -0.23396695 -0.10254136
  795558   191180 -0.03687227  0.08015410 -0.01545677  0.20047068  0.36450231 -0.29799680 -0.02639546  0.09806559 -0.11775590 -0.05542856  0.10261889  0.20141140 -0.05623607 -0.06026959 -0.02931675 -0.80257111
  811919   16361   0.18335990 -0.03584955 -0.53382445  0.15385766 -0.41926260 -0.10840395 -0.14687210  0.02695515  0.42163568 -0.06251707  0.09713115  0.27901547  0.01027116  0.40304755  0.04787800 -0.11317437
  813931   2012   -0.00765428  0.47304015 -0.23999379  0.12168416  0.51384886 -0.10655600  0.19015390 -0.33527430  0.09673959  0.02114233  0.30617859  0.02128170 -0.10355944 -0.31296957 -0.06731699  0.25019652
  847612   33681  -0.14060524 -0.43902077 -0.30773173  0.14420937 -0.20778525 -0.25954284 -0.09290759 -0.32128428  0.07117652  0.19991905  0.06571462  0.15627428  0.25001239  0.12291845 -0.30304350  0.45428942
  853727   6115   -0.04042790 -0.24885885 -0.30996499  0.00642724  0.03903613 -0.09680099 -0.00597519  0.35322508 -0.21941793  0.12051335 -0.33459731 -0.25439957 -0.27363081 -0.60523403 -0.04273649  0.14922026
  908808   55081   0.03402973  0.22398998  0.08354115  0.54864580 -0.29487267 -0.24132277  0.16578285  0.11650227  0.01599924  0.17404388  0.04009145  0.00543116  0.27497149 -0.24875776 -0.31700075 -0.42926978
  964406   55598   0.41896493 -0.16922517 -0.42798418  0.15188802 -0.05851282  0.34947667  0.14693911  0.15171877  0.61944151 -0.03115622  0.09047923 -0.10518563  0.01097210  0.02458788  0.10133883 -0.06708139
  966530   2124   -0.10302086 -0.27381672  0.13471601 -0.19529263 -0.14441773 -0.12728908  0.56952995 -0.26975514 -0.03231936  0.21373100  0.24373304 -0.34940811  0.09153491 -0.13371805  0.39669362 -0.10995462
  967911   1381    0.07362062  0.09752700  0.09545599 -0.25729712 -0.03616232 -0.38950112  0.16048126 -0.01321623  0.38333263 -0.26460280 -0.46907230  0.33771140  0.28026037 -0.23752419  0.19025649  0.09278787
  1085391  117480 -0.37621682  0.05042234 -0.05456884 -0.25917251 -0.12055252 -0.35751745  0.04257592  0.32285189  0.33699392 -0.30003061  0.32345306 -0.24353306 -0.23785488  0.12851412 -0.30870393 -0.03834339
  1105475  20084  -0.04678008  0.12976738  0.12813037  0.00251631  0.13340456 -0.02403502 -0.35129107  0.02095757 -0.43591244 -0.04512193  0.30871566 -0.22618373 -0.33306277 -0.14906540  0.50952876  0.30172553
  1182813  77338  -0.07040205 -0.20832200 -0.10872124 -0.12593828  0.09355824 -0.35380289 -0.06506776 -0.40743765 -0.02234364 -0.14684015 -0.03191915 -0.17082817  0.12835455 -0.52625885  0.14457388 -0.50319839
  1194329  11516  -0.14377663  0.01038699  0.25129781 -0.07581155 -0.03242934 -0.42022703 -0.21875125 -0.25018349 -0.09745942  0.25189679 -0.38076406  0.53305491  0.12590233  0.17499308  0.20156327  0.18181100
  1262860  68531   0.47041753  0.05375383  0.14355518 -0.54977365  0.05140959 -0.38090465 -0.03168932 -0.00247021 -0.11001458 -0.32761095  0.14550462 -0.05340025 -0.08204160  0.23825217 -0.30734579  0.05296619
  1263736  876     0.03710221  0.15374428  0.05878505  0.30410728  0.11987603 -0.21727991 -0.41038333 -0.09009527  0.05635077  0.32657257  0.24655489 -0.37270387  0.46598398  0.11538990 -0.31094502  0.06535671
  1313114  49378  -0.47473592 -0.13943769 -0.05042450 -0.21706138  0.43074944  0.02366096 -0.22197487  0.52089308 -0.16905493 -0.24125668 -0.06749113  0.10031880  0.27026275  0.04052095 -0.11424751 -0.09837498
