# Shadow tomography log started 2020-01-30 12:18:30
# Dimension = 32
# True state = (-0.04253849  0.06026821 -0.11189757  0.12480997  0.11420122  0.08507518  0.03483992 -0.06958561 -0.02387117  0.31656915 -0.01901664  0.24493499  0.14841320 -0.01453716 -0.04509974 -0.11346489 -0.11893803  0.06505946  0.08099915 -0.11042199 -0.00411617 -0.36350052 -0.28820120 -0.10332123  0.22114837  0.12355172 -0.04220527 -0.01048672 -0.00556871 -0.08898689 -0.04336205 -0.19881504 -0.05524026 -0.12070405  0.07842430 -0.00858368 -0.08455496  0.12185433 -0.19725007  0.05794396 -0.04262981  0.11087326  0.02171164 -0.06994538  0.14488513 -0.07044524  0.01835244 -0.06047994 -0.13057125  0.02144598  0.15899372  0.07499059  0.08441177 -0.09387125  0.15260157  0.01654506  0.15789416  0.06631318  0.03489070  0.10071068  0.01880188 -0.03118708 -0.14003723 -0.27628668)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15        re16        im16        re17        im17        re18        im18        re19        im19        re20        im20        re21        im21        re22        im22        re23        im23        re24        im24        re25        im25        re26        im26        re27        im27        re28        im28        re29        im29        re30        im30        re31        im31
  1171     1171   -0.01130056  0.04304546  0.23905897  0.09923410 -0.05334675 -0.19424795  0.01386627  0.27483085 -0.03971447  0.06244929 -0.06296709  0.01680142  0.14412116 -0.11951840  0.07978855  0.03874339 -0.04972821 -0.03478019  0.22653400  0.01076594  0.02418200  0.05907664 -0.00790743  0.25711518 -0.02586861  0.11040654 -0.20394810 -0.12346217  0.11101557 -0.02333533 -0.14591814  0.11723011 -0.25848697 -0.01031026  0.15569427  0.04375796  0.00796177  0.12150554 -0.11967652  0.17739559 -0.01266115 -0.08194628 -0.08547411 -0.08043050  0.23362502 -0.13698836  0.15630963  0.08928509 -0.08727214 -0.00734578  0.08824406  0.13997019 -0.14828280  0.16000983 -0.00548525  0.23336893  0.05417401 -0.15669746  0.12830264  0.07027411  0.01847383 -0.04702647  0.21671206 -0.05896441
  4006     2835    0.00603374 -0.06107926  0.02555762 -0.02143843  0.14545895  0.03819251 -0.10571048 -0.14331285  0.01140925  0.18525163  0.09675655  0.00354468  0.08618176  0.13447973  0.12875536 -0.00863010  0.13865626 -0.07970406  0.15859919  0.23467673 -0.17872452  0.00283073 -0.16198247 -0.01489078 -0.03946994  0.24727263  0.16041325  0.01365344  0.08529116 -0.11973036 -0.01389073  0.09141827 -0.04524785  0.16153695 -0.06813140  0.21660634  0.00240135 -0.15778693  0.01384280  0.19126690  0.05920425 -0.10379982 -0.20840196 -0.05612617 -0.18602496 -0.06513151  0.27184086  0.09504724 -0.00303242 -0.06582374 -0.07006403 -0.31356069  0.05972220 -0.04756905  0.11792681  0.00843558  0.12795064 -0.15565325 -0.08054301 -0.25330625 -0.00527703  0.00995504 -0.06454976 -0.06974713
  6594     2588    0.23399324  0.05465359 -0.00362235  0.12716115  0.09713463  0.15210044  0.16426339  0.19339968 -0.22842716 -0.24901605  0.07262299  0.00661411 -0.16032797  0.13971760 -0.02664203 -0.05363262 -0.12066132 -0.10851667 -0.11051501  0.06185943 -0.09878589 -0.11619632  0.16965050  0.07234854  0.07350627 -0.06100211 -0.14193897 -0.00389093  0.04112186  0.19924562 -0.01873704  0.07123597 -0.05564349  0.03872376  0.03533803  0.15845386 -0.03462498  0.14635040  0.04032302  0.09544923  0.22214311 -0.12918625  0.20248128  0.19026966 -0.03795595 -0.01405820  0.17398841  0.02661970 -0.14480782 -0.11482358 -0.00567400 -0.19135227  0.04498085 -0.20170076  0.04056080  0.07258674 -0.06645827 -0.19004309 -0.09994187  0.16725026  0.05869410  0.02748745 -0.18396216  0.08904539
  6954     360     0.22730809  0.21167957  0.03897713  0.03774806 -0.02238508 -0.18976586 -0.16659587  0.07261763 -0.09053001 -0.06505793  0.02444373 -0.02058372 -0.06742594  0.00849987 -0.13685311  0.05945868  0.15710315 -0.19976214 -0.10600137  0.22932641  0.29227292 -0.00824299 -0.02607921 -0.04105105 -0.19464177  0.09873372 -0.19663551  0.03805992 -0.00612513 -0.11978737 -0.10759694 -0.13246530 -0.00502229  0.09550063 -0.11673841 -0.05783078  0.00594220  0.05369016  0.05770525 -0.07076888 -0.22143875  0.04953412 -0.07881360 -0.13833215 -0.19846041 -0.07416236  0.05124733 -0.08504226 -0.11462793  0.04474091  0.05980386  0.02680689  0.00817149 -0.08848238  0.03967153 -0.05880605 -0.21683741 -0.06897765 -0.16153949  0.01192880 -0.36854868 -0.03778691  0.07561219  0.14447224
  10812    3858   -0.02922956 -0.05976933 -0.08797776 -0.11871226  0.00348737  0.05416263  0.07448002 -0.10542572  0.00764252 -0.14821759 -0.05531074  0.33463096  0.20427430  0.17103080  0.02041471 -0.04106514 -0.07386497  0.04040728  0.13479865 -0.00146256 -0.08263954 -0.20140371 -0.02537923 -0.20671452 -0.00919594  0.05564164 -0.15245675 -0.13914165  0.04148749 -0.13422343  0.06177900 -0.23639082 -0.09607454 -0.11827577  0.02572368  0.02015672  0.13082336  0.04368284  0.01237220 -0.07062939  0.08109699 -0.06595026 -0.07109429  0.41827131 -0.04261019  0.00878882 -0.08227158  0.05777435  0.08048833  0.20015283  0.06710950  0.04918316 -0.20270398  0.06053482  0.02312079  0.11208877 -0.01050436 -0.15614468 -0.10242550 -0.09263333 -0.23595904 -0.16987927  0.08481887  0.06890885
  11643    831    -0.26073878  0.16544167 -0.09521661 -0.07334835  0.01905816 -0.02795960  0.14186049  0.11127004  0.02932572  0.14828805 -0.22153076  0.07463904  0.11901959 -0.08951560 -0.09863228 -0.17998118  0.00956931  0.08341598 -0.04191976  0.15210491 -0.14772207 -0.08509288  0.09693453 -0.10690316  0.04640909  0.18628929 -0.04738460  0.02779149  0.06572245  0.00325747 -0.25577000  0.15606584  0.17870427 -0.01631294 -0.21260312 -0.06817633  0.00491552 -0.05329475  0.02982069 -0.24284374  0.32011855  0.03536307  0.03795425 -0.07140648  0.22483539 -0.07525686  0.20967427 -0.21421944 -0.09829524 -0.05637550  0.01240957 -0.03099204  0.08493679  0.07400974 -0.08512255 -0.10600096 -0.05268522  0.00880012 -0.16483975  0.02823362 -0.06006101 -0.06078812  0.07410002  0.09532558
  14683    3040   -0.05260583  0.02575527 -0.08988095  0.21367387 -0.00274862  0.14623518  0.03823611 -0.05270361 -0.11826605  0.15168924  0.02396696 -0.07011634  0.11454346 -0.04898378  0.15335738 -0.06465351 -0.11169236  0.06133358 -0.12422523 -0.14933638  0.03366859  0.05511195  0.02706542  0.19959221  0.08409073  0.06974059 -0.20758302 -0.12393146 -0.04120099  0.06754981  0.02016139  0.02056342 -0.02576231 -0.14864144 -0.08081929 -0.05900239  0.11985543 -0.15530314 -0.00479070 -0.01637266 -0.12571465  0.05822690 -0.10701767 -0.01193849 -0.35452450 -0.14595157  0.11984163 -0.11689257  0.12696890  0.14480082  0.15246433 -0.19695018 -0.13061834 -0.05569116 -0.36409917 -0.20020794  0.13477084 -0.10077157  0.10555668  0.12850954  0.02841809 -0.05344822  0.03634244  0.15831184
  16606    1923   -0.00800162 -0.01845010  0.18016510  0.23271133  0.00623669 -0.03856289  0.28622542 -0.19199739 -0.17875644  0.01277925  0.07823015 -0.03737712 -0.01876188 -0.10036878 -0.06756515 -0.04145806  0.04851850 -0.03443495 -0.09550094 -0.02309003 -0.02413192 -0.30846700 -0.25916553  0.04975661 -0.04606383 -0.03076794 -0.02402586 -0.15048618 -0.20177498 -0.32751621 -0.01274388  0.10073247  0.05716896 -0.10556266  0.03326328 -0.13617913 -0.10185302 -0.09458225  0.05679534  0.23110139  0.04019018  0.05589445 -0.05957580  0.03793920  0.00614605  0.10718733 -0.03853201  0.06671088 -0.20062597  0.05602964 -0.03680965  0.01767253  0.18243850  0.06613046 -0.10284707  0.07789163 -0.14928181  0.12459830 -0.16751111 -0.02161558  0.17122582 -0.19313623  0.04415858  0.04122972
  16802    196     0.07547310 -0.28413307  0.06801054 -0.09333646 -0.17571440  0.03484873  0.03436443  0.15331837 -0.00547048 -0.00476488 -0.04211753  0.13639629  0.09223226 -0.00080929  0.05140875 -0.26286015  0.20585208  0.07514831 -0.22737097 -0.08551252 -0.06804863  0.03414241  0.04175178 -0.05486816 -0.14641754  0.07695503 -0.11429588 -0.14940996  0.05220289  0.06465594  0.03552170  0.29000783 -0.32104836 -0.10062709 -0.11400283  0.11204788 -0.16768149  0.10229509 -0.08532369 -0.08081936 -0.20151317 -0.10596917 -0.00965018 -0.01461421  0.00129422  0.03790957  0.00600961  0.09398785  0.07015314  0.12531960 -0.20321428  0.05778455  0.10108764 -0.08000904 -0.05355313 -0.16952063 -0.11724222  0.12682632 -0.13956563 -0.16694976  0.01367975  0.15389957 -0.02779045  0.03567130
  20189    3387   -0.00047242  0.03334757  0.05762243  0.03298822 -0.15772233 -0.09774431  0.07540339 -0.04166211  0.05874226 -0.00154399 -0.07664876 -0.06700941  0.10766395 -0.15868790  0.26188081  0.07709489 -0.00287115 -0.04547946 -0.06298282  0.01003078 -0.29650718  0.04834460 -0.10107831  0.10764526 -0.06507448 -0.18893025 -0.12804742 -0.12827071  0.28665117 -0.03990476  0.04417993 -0.07755753  0.01698543  0.35807887 -0.00309831  0.16274094  0.00748023 -0.08515522  0.10257567  0.00839341  0.12741675  0.12260584  0.08074468 -0.00332354  0.02673545  0.03104786 -0.35904878 -0.09710837 -0.15157294  0.05690854  0.16633733  0.02446035  0.11429187 -0.17664342 -0.07628628 -0.03066601  0.05533050 -0.05260677 -0.02836669 -0.12341356 -0.11207776  0.17425728 -0.00817912  0.15398839
